OBJECTID;Shape_Leng;Shape_Area;COD_DIS;COD_DIS_TX;DISTRI_MAY;NOMBRE;DISTRI_MT
11;1,030,407,973;5,228,246,741;1;1;CENTRO;Centro;CENTRO
6;1,280,676,426;6462175,63;2;2;ARGANZUELA;Arganzuela;ARGANZUELA
9;9,523,885,329;5,466,211,164;3;3;RETIRO;Retiro;RETIRO
12;1,086,633,577;5,392,403,428;4;4;SALAMANCA;Salamanca;SALAMANCA
17;1,339,681,708;9,175,481,878;5;5;CHAMARTIN;Chamartín;CHAMARTÍN
15;9,919,059,595;5,374,724,446;6;6;TETUAN;Tetuán;TETUÁN
13;9,019,542,776;4,679,185,047;7;7;CHAMBERI;Chamberí;CHAMBERÍ
21;9,448,214,556;237838370,4;8;8;FUENCARRAL - EL PARDO;Fuencarral - El Pardo;FUENCARRAL - EL PARDO
16;4,103,434,336;46531136,2;9;9;MONCLOA - ARAVACA;Moncloa - Aravaca;MONCLOA - ARAVACA
7;2,818,105,527;25427202,6;10;10;LATINA;Latina;LATINA
4;1,808,330,558;14048316,11;11;11;CARABANCHEL;Carabanchel;CARABANCHEL
3;1,187,891,045;7,777,717,293;12;12;USERA;Usera;USERA
5;1,726,377,382;14968606,15;13;13;PUENTE DE VALLECAS;Puente de Vallecas;PUENTE DE VALLECAS
8;1,081,407,229;6,103,167,529;14;14;MORATALAZ;Moratalaz;MORATALAZ
18;2,152,470,026;11425677,82;15;15;CIUDAD LINEAL;Ciudad Lineal;CIUDAD LINEAL
20;2,698,838,785;27419761,67;16;16;HORTALEZA;Hortaleza;HORTALEZA
1;1,834,236,139;20187586,34;17;17;VILLAVERDE;Villaverde;VILLAVERDE
2;3,348,066,228;51467238,51;18;18;VILLA DE VALLECAS;Villa de Vallecas;VILLA DE VALLECAS
10;3,426,539,005;35266713,27;19;19;VICALVARO;Vicálvaro;VICÁLVARO
14;2,678,032,886;22292392,33;20;20;SAN BLAS - CANILLEJAS;San Blas - Canillejas;SAN BLAS - CANILLEJAS
19;2,873,035,067;41922811,47;21;21;BARAJAS;Barajas;BARAJAS
